Processed 776, Round: 0, Time: 480.23s
Processed 365, Round: 42, Time: 11.18s
Processed 90, Round: 18, Time: 25.27s
Processed 24, Round: 1, Time: 243.22s
Processed 630, Round: 22, Time: 21.15s
Processed 338, Round: 13, Time: 35.01s
Processed 365, Round: 43, Time: 11.17s
Processed 815, Round: 21, Time: 22.49s
Processed 154, Round: 11, Time: 41.78s
Processed 365, Round: 44, Time: 11.16s
Processed 90, Round: 19, Time: 25.29s
Processed 630, Round: 23, Time: 21.15s
Processed 902, Round: 0, Time: 509.95s
Processed 918, Round: 0, Time: 511.94s
Processed 365, Round: 45, Time: 11.17s
Processed 113, Round: 5, Time: 86.07s
Processed 815, Round: 22, Time: 22.48s
Processed 533, Round: 0, Time: 517.65s
Processed 250, Round: 2, Time: 172.97s
Processed 930, Round: 6, Time: 74.49s
Processed 365, Round: 46, Time: 11.18s
Processed 338, Round: 14, Time: 35.03s
Processed 726, Round: 0, Time: 526.06s
Processed 630, Round: 24, Time: 21.16s
Processed 90, Round: 20, Time: 25.29s
Processed 513, Round: 2, Time: 177.21s
Processed 888, Round: 0, Time: 531.68s
Processed 919, Round: 9, Time: 53.19s
Processed 393, Round: 3, Time: 133.34s
Processed 365, Round: 47, Time: 11.17s
Processed 815, Round: 23, Time: 22.50s
Processed 154, Round: 12, Time: 41.76s
Processed 627, Round: 0, Time: 547.54s
Processed 365, Round: 48, Time: 11.16s
Processed 630, Round: 25, Time: 21.14s
Processed 803, Round: 2, Time: 183.75s
Processed 361, Round: 5, Time: 92.21s
Processed 860, Round: 0, Time: 553.89s
Processed 90, Round: 21, Time: 25.29s
Processed 365, Round: 49, Time: 11.18s
Processed 338, Round: 15, Time: 35.03s
Processed 815, Round: 24, Time: 22.49s
Processed 788, Round: 1, Time: 281.44s
Processed 365, Round: 50, Time: 11.16s
Processed 596, Round: 1, Time: 285.54s
Processed 630, Round: 26, Time: 21.15s
Processed 10, Round: 0, Time: 573.33s
Processed 272, Round: 0, Time: 574.28s
Processed 526, Round: 0, Time: 577.22s
Processed 365, Round: 51, Time: 11.16s
Processed 90, Round: 22, Time: 25.28s
Processed 716, Round: 0, Time: 582.00s
Processed 702, Round: 4, Time: 116.85s
Processed 815, Round: 25, Time: 22.47s
Processed 154, Round: 13, Time: 41.75s
Processed 919, Round: 10, Time: 53.19s
Processed 630, Round: 27, Time: 21.15s
Processed 365, Round: 52, Time: 11.18s
Processed 338, Round: 16, Time: 35.01s
Processed 930, Round: 7, Time: 74.49s
Processed 500, Round: 0, Time: 600.23s
Processed 836, Round: 0, Time: 600.83s
Processed 113, Round: 6, Time: 86.07s
Processed 365, Round: 53, Time: 11.19s
Processed 815, Round: 26, Time: 22.48s
Processed 90, Round: 23, Time: 25.30s
Processed 695, Round: 0, Time: 608.01s
Processed 619, Round: 1, Time: 305.70s
Processed 630, Round: 28, Time: 21.15s
Processed 525, Round: 1, Time: 307.27s
Processed 450, Round: 0, Time: 614.66s
Processed 365, Round: 54, Time: 11.16s
Processed 515, Round: 0, Time: 615.00s
Processed 177, Round: 0, Time: 620.40s
Processed 365, Round: 55, Time: 11.17s
Processed 154, Round: 14, Time: 41.76s
Processed 815, Round: 27, Time: 22.48s
Processed 338, Round: 17, Time: 35.03s
Processed 90, Round: 24, Time: 25.30s
Processed 36, Round: 0, Time: 632.85s
Processed 630, Round: 29, Time: 21.14s
Processed 365, Round: 56, Time: 11.17s
Processed 919, Round: 11, Time: 53.20s
Processed 589, Round: 1, Time: 319.83s
Processed 361, Round: 6, Time: 92.20s
Processed 635, Round: 0, Time: 646.69s
